Key	English	Russian
MaterialSafetyFactors	Material Safety Factors	
Str_6165	...	
Color	Color	
MaterialProperties	Material properties	
ShowDiagram	Show diagram	
CoverGap	Cover gap	
TopDiameter	Top Diameter	
BottomDiameter	Bottom Diameter	
WidthCount	Width count	
HeightCount	Height count	
ReinforcedRectangleTemplate	Reinforced rectangle template	
RebarDiameter	Rebar Diameter	
RebarCount	Rebar Count	
ReinforcedCircleTemplate	Reinforced circle template	
InvertValues	Invert Values	
DrawLines	Draw Lines	
XAxisValues	X-axis values	
YAxisValues	Y-axis values	
Graph	Graph	
YValue	y-value	
XValue	x-value	
ShowAreas	Show Areas	
CalculationTerms	Calculation terms	
MinimumStrain	Minimum strain	
MaximumStrain	Maximum strain	
PositiveInTension	Positive in tension	
DrawLines1	Draw lines	
AreaUnderLines	Area under lines	
MaterialDiagram	Material Diagram	
Stress	Stress	
Strain	Strain	
SelectPrimitives	Select Primitives	
Triangulation	Triangulation	
Main	Main	
CommonProperties	Common properties	
Prestrain	Prestrain	
Visual	Visual	
Area1	Area	
Host	Host	
MinimumElementDivision	Minimum element division	
MaximumElementSize	Maximum element size	
ClearUnderlying	Clear underlying	
NameOfMaterial	Name of material	
Triangulate	Triangulate	
UserSAuto	User's / Auto	
KX	k_x	
KY	k_y	
EpsilonZ	epsilon_z	
Visible	Visible	
MaterialColor	Material color	
ZIndexInteger	Z-index (integer)	
Opacity	Opacity	
PrimitiveProperties	PrimitiveProperties	
Str_8768	*-1	
Str_5926	*0	
Str_8025	*0.5	
Str_6236	*2.0	
Str_7900	*(-1)	
Str_2310	*0.1	
Str_2107	*10.0	
ShortInformation	Short information	
DetailedInformation	Detailed Information	
HappenedSomethingWrong	Happened something wrong	
ErrorMessage	Error Message	
RelativeCoordinates	Relative coordinates	
Coordinates	Coordinates	
CopyCount	Copy count	
DeltaX	Delta X	
DeltaY	Delta Y	
Angle	Angle	
Distance	Distance	
CopyTo	Copy To	

Total unique strings: 291
